date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:04:29	40811/40811	---M--	200	added ('OK')	image/jpeg	date:Sat,%2017%20Nov%202018%2013:31:10%20GMT	https://ivang-design.com/thalia/img/room6.jpg	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/room6.jpg	(from https://ivang-design.com/thalia/)
12:04:29	41379/41379	---M--	200	added ('OK')	image/jpeg	date:Sat,%2017%20Nov%202018%2012:18:34%20GMT	https://ivang-design.com/thalia/img/room5.jpg	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/room5.jpg	(from https://ivang-design.com/thalia/)
12:04:31	70377/70377	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Nov%202018%2011:02:38%20GMT	https://ivang-design.com/thalia/img/rest-2.jpg	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/rest-2.jpg	(from https://ivang-design.com/thalia/)
12:04:32	63624/63624	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Nov%202018%2011:02:22%20GMT	https://ivang-design.com/thalia/img/rest-1.jpg	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/rest-1.jpg	(from https://ivang-design.com/thalia/)
12:04:32	51685/51685	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Nov%202018%2012:18:18%20GMT	https://ivang-design.com/thalia/img/gallery/1-s.jpg	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/gallery/1-s.jpg	(from https://ivang-design.com/thalia/)
12:04:32	100900/100900	---M--	200	added ('OK')	image/jpeg	date:Thu,%2022%20Nov%202018%2017:41:30%20GMT	https://ivang-design.com/thalia/img/5.jpg	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/5.jpg	(from https://ivang-design.com/thalia/)
12:04:33	253240/253240	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Nov%202018%2012:17:06%20GMT	https://ivang-design.com/thalia/img/gallery/1.jpg	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/gallery/1.jpg	(from https://ivang-design.com/thalia/)
12:04:33	30112/30112	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Nov%202018%2012:19:20%20GMT	https://ivang-design.com/thalia/img/gallery/3-s.jpg	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/gallery/3-s.jpg	(from https://ivang-design.com/thalia/)
12:04:35	175455/175455	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Nov%202018%2012:17:00%20GMT	https://ivang-design.com/thalia/img/gallery/2.jpg	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/gallery/2.jpg	(from https://ivang-design.com/thalia/)
12:04:35	32923/32923	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Nov%202018%2012:18:48%20GMT	https://ivang-design.com/thalia/img/gallery/2-s.jpg	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/gallery/2-s.jpg	(from https://ivang-design.com/thalia/)
12:04:36	37622/37622	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Nov%202018%2012:19:50%20GMT	https://ivang-design.com/thalia/img/gallery/4-s.jpg	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/gallery/4-s.jpg	(from https://ivang-design.com/thalia/)
12:04:39	32253/32253	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Nov%202018%2012:20:20%20GMT	https://ivang-design.com/thalia/img/gallery/5-s.jpg	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/gallery/5-s.jpg	(from https://ivang-design.com/thalia/)
12:04:40	333467/333467	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Nov%202018%2012:16:44%20GMT	https://ivang-design.com/thalia/img/gallery/4.jpg	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/gallery/4.jpg	(from https://ivang-design.com/thalia/)
12:04:40	160587/160587	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Nov%202018%2012:16:54%20GMT	https://ivang-design.com/thalia/img/gallery/3.jpg	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/gallery/3.jpg	(from https://ivang-design.com/thalia/)
12:04:41	216679/216679	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Nov%202018%2012:16:40%20GMT	https://ivang-design.com/thalia/img/gallery/5.jpg	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/gallery/5.jpg	(from https://ivang-design.com/thalia/)
12:04:41	23956/23956	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Nov%202018%2012:21:12%20GMT	https://ivang-design.com/thalia/img/gallery/6-s.jpg	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/gallery/6-s.jpg	(from https://ivang-design.com/thalia/)
12:04:42	114388/114388	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Nov%202018%2012:16:32%20GMT	https://ivang-design.com/thalia/img/gallery/6.jpg	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/gallery/6.jpg	(from https://ivang-design.com/thalia/)
12:04:43	31299/31299	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Nov%202018%2012:21:42%20GMT	https://ivang-design.com/thalia/img/gallery/7-s.jpg	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/gallery/7-s.jpg	(from https://ivang-design.com/thalia/)
12:04:44	165248/165248	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Nov%202018%2012:16:26%20GMT	https://ivang-design.com/thalia/img/gallery/7.jpg	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/gallery/7.jpg	(from https://ivang-design.com/thalia/)
12:04:44	32717/32717	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Nov%202018%2012:22:16%20GMT	https://ivang-design.com/thalia/img/gallery/8-s.jpg	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/gallery/8-s.jpg	(from https://ivang-design.com/thalia/)
12:04:45	37411/37411	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Nov%202018%2012:22:50%20GMT	https://ivang-design.com/thalia/img/gallery/9-s.jpg	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/gallery/9-s.jpg	(from https://ivang-design.com/thalia/)
12:04:47	37292/37292	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Nov%202018%2012:23:18%20GMT	https://ivang-design.com/thalia/img/gallery/10-s.jpg	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/gallery/10-s.jpg	(from https://ivang-design.com/thalia/)
12:04:47	17373/17373	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Nov%202018%2023:26:06%20GMT	https://ivang-design.com/thalia/img/logos/1.png	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/logos/1.png	(from https://ivang-design.com/thalia/)
12:04:47	16789/16789	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Nov%202018%2023:26:09%20GMT	https://ivang-design.com/thalia/img/logos/2.png	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/logos/2.png	(from https://ivang-design.com/thalia/)
12:04:48	17298/17298	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Nov%202018%2023:26:12%20GMT	https://ivang-design.com/thalia/img/logos/3.png	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/logos/3.png	(from https://ivang-design.com/thalia/)
12:04:48	251547/251547	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Nov%202018%2012:16:06%20GMT	https://ivang-design.com/thalia/img/gallery/9.jpg	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/gallery/9.jpg	(from https://ivang-design.com/thalia/)
12:04:48	85655/85655	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2016%20Nov%202018%2008:09:52%20GMT	https://ivang-design.com/thalia/js/jquery.min.js	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/js/jquery.min.js	(from https://ivang-design.com/thalia/)
12:04:48	231255/231255	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Nov%202018%2012:16:18%20GMT	https://ivang-design.com/thalia/img/gallery/8.jpg	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/gallery/8.jpg	(from https://ivang-design.com/thalia/)
12:04:48	19191/19191	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2016%20Feb%202018%2016:23:52%20GMT	https://ivang-design.com/thalia/js/popper.min.js	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/js/popper.min.js	(from https://ivang-design.com/thalia/)
12:04:49	51039/51039	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2023%20Jul%202018%2016:37:42%20GMT	https://ivang-design.com/thalia/js/bootstrap.min.js	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/js/bootstrap.min.js	(from https://ivang-design.com/thalia/)
12:04:49	14276/14276	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2015%20Nov%202018%2020:57:58%20GMT	https://ivang-design.com/thalia/js/flip-slider.js	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/js/flip-slider.js	(from https://ivang-design.com/thalia/)
12:04:50	11285/11285	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2018%20Nov%202018%2011:30:12%20GMT	https://ivang-design.com/thalia/js/reveal-home.js	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/js/reveal-home.js	(from https://ivang-design.com/thalia/)
12:04:50	217442/217442	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Nov%202018%2012:16:00%20GMT	https://ivang-design.com/thalia/img/gallery/10.jpg	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/gallery/10.jpg	(from https://ivang-design.com/thalia/)
12:04:50	268747/268747	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2023%20Nov%202018%2009:35:16%20GMT	https://ivang-design.com/thalia/js/plugins.js	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/js/plugins.js	(from https://ivang-design.com/thalia/)
12:04:50	8726/8726	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2025%20Nov%202018%2022:07:54%20GMT	https://ivang-design.com/thalia/js/custom.js	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/js/custom.js	(from https://ivang-design.com/thalia/)
12:04:52	77160/77160	---M--	200	added ('OK')	font/woff2	date:Fri,%2008%20Sep%202017%2019:40:26%20GMT	https://ivang-design.com/thalia/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/fonts/fontawesome-webfont3e6e.woff2	(from https://ivang-design.com/thalia/css/font-awesome.min.css)
12:04:53	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2008%20Sep%202017%2019:40:26%20GMT	https://ivang-design.com/thalia/fonts/fontawesome-webfont.eot?v=4.7.0	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/fonts/fontawesome-webfont3e6e.eot	(from https://ivang-design.com/thalia/css/font-awesome.min.css)
12:04:53	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2008%20Sep%202017%2019:40:26%20GMT	https://ivang-design.com/thalia/fonts/fontawesome-webfont.eot?	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/fonts/fontawesome-webfontd41d.eot	(from https://ivang-design.com/thalia/css/font-awesome.min.css)
12:04:55	98024/98024	---M--	200	added ('OK')	font/woff	date:Fri,%2008%20Sep%202017%2019:40:26%20GMT	https://ivang-design.com/thalia/fonts/fontawesome-webfont.woff?v=4.7.0	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/fonts/fontawesome-webfont3e6e.woff	(from https://ivang-design.com/thalia/css/font-awesome.min.css)
12:04:55	165548/165548	---M--	200	added ('OK')	font/ttf	date:Fri,%2008%20Sep%202017%2019:40:26%20GMT	https://ivang-design.com/thalia/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/fonts/fontawesome-webfont3e6e.ttf	(from https://ivang-design.com/thalia/css/font-awesome.min.css)
12:04:57	120724/120724	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2007%20Feb%202016%2012:45:12%20GMT	https://ivang-design.com/thalia/fonts/ionicons.eot?v=2.0.1	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/fonts/ionicons790f.eot	(from https://ivang-design.com/thalia/css/ionicons.min.css)
12:04:57	444379/444379	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2008%20Sep%202017%2019:40:26%20GMT	https://ivang-design.com/thalia/fonts/fontawesome-webfont.svg?v=4.7.0	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/fonts/fontawesome-webfont3e6e.svg	(from https://ivang-design.com/thalia/css/font-awesome.min.css)
12:04:57	67904/67904	---M--	200	added ('OK')	font/woff	date:Sun,%2007%20Feb%202016%2012:45:12%20GMT	https://ivang-design.com/thalia/fonts/ionicons.woff?v=2.0.1	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/fonts/ionicons790f.woff	(from https://ivang-design.com/thalia/css/ionicons.min.css)
12:04:57	188508/188508	---M--	200	added ('OK')	font/ttf	date:Sun,%2007%20Feb%202016%2012:45:12%20GMT	https://ivang-design.com/thalia/fonts/ionicons.ttf?v=2.0.1	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/fonts/ionicons790f.ttf	(from https://ivang-design.com/thalia/css/ionicons.min.css)
12:04:58	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2007%20Nov%202021%2006:34:58%20GMT	https://ivang-design.com/thalia/css/grabbing.png	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/css/grabbing.png	(from https://ivang-design.com/thalia/css/owl.carousel.css)
12:04:58	736/736	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2018%20Nov%202018%2013:31:50%20GMT	https://ivang-design.com/thalia/img/arrow-up.svg	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/arrow-up.svg	(from https://ivang-design.com/thalia/css/style.css)
12:04:59	92128/92128	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Nov%202018%2020:10:30%20GMT	https://ivang-design.com/thalia/img/home-video.jpg	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/home-video.jpg	(from https://ivang-design.com/thalia/css/style.css)
12:04:59	333834/333834	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2007%20Feb%202016%2012:45:12%20GMT	https://ivang-design.com/thalia/fonts/ionicons.svg?v=2.0.1	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/fonts/ionicons790f.svg	(from https://ivang-design.com/thalia/css/ionicons.min.css)
12:04:59	75309/75309	---M--	200	added ('OK')	image/jpeg	date:Sat,%2024%20Nov%202018%2010:42:12%20GMT	https://ivang-design.com/thalia/img/video-res.jpg	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/video-res.jpg	(from https://ivang-design.com/thalia/css/style.css)
12:05:00	133155/133155	---M--	200	added ('OK')	image/jpeg	date:Sat,%2024%20Nov%202018%2016:40:24%20GMT	https://ivang-design.com/thalia/img/video-explore.jpg	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/video-explore.jpg	(from https://ivang-design.com/thalia/css/style.css)
12:05:01	16538/16538	---M--	200	added ('OK')	image/png	date:Sat,%2017%20Nov%202018%2019:02:04%20GMT	https://ivang-design.com/thalia/img/user.png	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/user.png	(from https://ivang-design.com/thalia/css/style.css)
12:05:01	600/600	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2017%20Nov%202018%2018:49:08%20GMT	https://ivang-design.com/thalia/img/up.svg	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/up.svg	(from https://ivang-design.com/thalia/css/style.css)
12:05:02	624/624	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2017%20Nov%202018%2018:49:00%20GMT	https://ivang-design.com/thalia/img/down.svg	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/down.svg	(from https://ivang-design.com/thalia/css/style.css)
12:05:02	71420/71420	---M--	200	added ('OK')	image/jpeg	date:Sun,%2025%20Nov%202018%2010:31:58%20GMT	https://ivang-design.com/thalia/img/video-about.jpg	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/video-about.jpg	(from https://ivang-design.com/thalia/css/style.css)
12:05:02	17264/17264	---M--	200	added ('OK')	image/png	date:Wed,%2026%20Oct%202016%2007:48:50%20GMT	https://ivang-design.com/thalia/img/qu.png	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/qu.png	(from https://ivang-design.com/thalia/css/style.css)
12:05:03	17554/17554	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Jun%202017%2012:44:40%20GMT	https://ivang-design.com/thalia/img/plus.png	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/plus.png	(from https://ivang-design.com/thalia/css/style.css)
12:05:03	598/598	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2023%20Nov%202018%2008:34:12%20GMT	https://ivang-design.com/thalia/img/arrow-left.svg	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/arrow-left.svg	(from https://ivang-design.com/thalia/css/style.css)
12:05:04	597/597	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2023%20Nov%202018%2008:33:56%20GMT	https://ivang-design.com/thalia/img/arrow-right.svg	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/arrow-right.svg	(from https://ivang-design.com/thalia/css/style.css)
12:05:07	18608/18608	---M--	200	added ('OK')	image/png	date:Thu,%2022%20Feb%202018%2009:58:26%20GMT	https://ivang-design.com/thalia/img/line-nav.png	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/line-nav.png	(from https://ivang-design.com/thalia/css/style.css)
12:05:09	2803/2803	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Aug%202014%2008:34:02%20GMT	https://ivang-design.com/thalia/img/trans.png	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/trans.png	(from https://ivang-design.com/thalia/index-1.html)
12:05:09	314051/314051	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Nov%202018%2021:37:44%20GMT	https://ivang-design.com/thalia/img/move-img.jpg	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/move-img.jpg	(from https://ivang-design.com/thalia/css/style.css)
12:05:10	275/275	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2022%20Nov%202018%2017:25:08%20GMT	https://ivang-design.com/thalia/js/move-img-effect.js	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/js/move-img-effect.js	(from https://ivang-design.com/thalia/index-2.html)
12:05:13	1939/1939	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2023%20Nov%202018%2007:41:18%20GMT	https://ivang-design.com/thalia/img/icons/1.svg	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/icons/1.svg	(from https://ivang-design.com/thalia/rooms-gallery.html)
12:05:13	1051/1051	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2023%20Nov%202018%2007:40:48%20GMT	https://ivang-design.com/thalia/img/icons/2.svg	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/icons/2.svg	(from https://ivang-design.com/thalia/rooms-gallery.html)
12:05:13	126594/126594	---M--	200	added ('OK')	image/jpeg	date:Fri,%2023%20Nov%202018%2007:36:46%20GMT	https://ivang-design.com/thalia/img/rooms.jpg	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/rooms.jpg	(from https://ivang-design.com/thalia/rooms.html)
12:05:13	2343/2343	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2023%20Nov%202018%2007:40:38%20GMT	https://ivang-design.com/thalia/img/icons/3.svg	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/icons/3.svg	(from https://ivang-design.com/thalia/rooms-gallery.html)
12:05:14	2315/2315	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2023%20Nov%202018%2007:39:56%20GMT	https://ivang-design.com/thalia/img/icons/4.svg	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/icons/4.svg	(from https://ivang-design.com/thalia/rooms-gallery.html)
12:05:14	3285/3285	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2023%20Nov%202018%2007:39:20%20GMT	https://ivang-design.com/thalia/img/icons/5.svg	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/img/icons/5.svg	(from https://ivang-design.com/thalia/rooms-gallery.html)
